IDUsuario;RetiroDT;RetiroEstacion;AnclajeDT;AnclajeEstacion
70795;2016-10-01 08:11:28.593;108;2016-10-01 08:17:27.000;92
54414;2016-10-01 08:11:31.093;53;2016-10-01 08:20:00.000;86
84142;2016-10-01 08:15:01.270;68;2016-10-01 08:21:20.000;68
42912;2016-10-01 08:19:37.990;66;2016-10-01 08:24:17.983;64
57533;2016-10-01 08:12:32.220;72;2016-10-01 08:26:07.040;13
60361;2016-10-01 08:24:30.747;124;2016-10-01 08:28:56.490;119
51016;2016-10-01 08:13:35.580;79;2016-10-01 08:30:01.000;59
4156;2016-10-01 08:16:48.287;23;2016-10-01 08:32:30.000;59
77179;2016-10-01 08:21:31.680;85;2016-10-01 08:34:03.000;19
55935;2016-10-01 08:23:50.823;16;2016-10-01 08:36:14.737;72
48347;2016-10-01 08:32:17.063;36;2016-10-01 08:39:18.287;103
75273;2016-10-01 08:32:56.627;45;2016-10-01 08:40:41.357;108
9628;2016-10-01 08:31:09.470;28;2016-10-01 08:43:23.710;108
41397;2016-10-01 08:15:17.237;76;2016-10-01 08:43:43.000;14
74958;2016-10-01 08:41:40.070;34;2016-10-01 08:46:04.000;39
23560;2016-10-01 08:35:51.630;67;2016-10-01 08:47:44.000;87
70781;2016-10-01 08:33:26.220;15;2016-10-01 08:48:42.413;38
71099;2016-10-01 08:40:52.850;31;2016-10-01 08:49:48.000;67
86994;2016-10-01 08:43:11.120;39;2016-10-01 08:51:46.000;28
17305;2016-10-01 08:43:55.730;107;2016-10-01 08:54:03.000;4
72309;2016-10-01 08:50:03.873;101;2016-10-01 08:55:15.000;59
5310;2016-10-01 08:48:42.263;8;2016-10-01 08:55:58.000;23
9395;2016-10-01 08:46:02.667;51;2016-10-01 08:56:40.617;119
77015;2016-10-01 08:50:30.420;117;2016-10-01 08:57:21.940;50
85182;2016-10-01 08:41:12.587;54;2016-10-01 08:58:23.000;19
88231;2016-10-01 08:39:46.537;44;2016-10-01 08:58:50.937;60
66437;2016-10-01 08:53:13.203;37;2016-10-01 09:00:24.000;16
3066;2016-10-01 08:41:09.103;78;2016-10-01 09:02:18.290;121
81532;2016-10-01 08:55:42.317;27;2016-10-01 09:04:20.000;47
85153;2016-10-01 09:01:35.087;92;2016-10-01 09:06:13.427;108
66409;2016-10-01 09:01:55.197;94;2016-10-01 09:07:27.000;70
85383;2016-10-01 09:04:18.073;55;2016-10-01 09:09:17.000;36
27420;2016-10-01 09:02:03.773;66;2016-10-01 09:11:39.000;80
89204;2016-10-01 09:00:20.443;111;2016-10-01 09:12:46.827;43
21201;2016-10-01 09:04:24.760;67;2016-10-01 09:13:21.000;63
49362;2016-10-01 08:57:52.537;66;2016-10-01 09:14:16.000;34
64034;2016-10-01 09:07:38.967;31;2016-10-01 09:15:26.000;53
62645;2016-10-01 09:09:19.967;103;2016-10-01 09:16:52.257;101
81869;2016-10-01 09:10:42.907;124;2016-10-01 09:18:15.420;13
42746;2016-10-01 09:12:19.127;63;2016-10-01 09:19:12.000;66
87158;2016-10-01 08:55:00.347;82;2016-10-01 09:21:18.900;37
15164;2016-10-01 09:16:00.660;90;2016-10-01 09:23:13.597;121
76721;2016-10-01 09:17:14.597;34;2016-10-01 09:23:49.070;100
83278;2016-10-01 09:16:41.690;34;2016-10-01 09:24:23.000;34
10444;2016-10-01 09:21:36.820;3;2016-10-01 09:28:27.037;11
70503;2016-10-01 09:18:35.490;130;2016-10-01 09:29:13.000;34
27608;2016-10-01 09:22:18.103;59;2016-10-01 09:30:14.440;64
68278;2016-10-01 09:27:28.247;44;2016-10-01 09:30:34.000;47
18015;2016-10-01 09:19:40.570;44;2016-10-01 09:31:44.000;36
37425;2016-10-01 09:24:17.120;61;2016-10-01 09:34:20.000;55
75998;2016-10-01 09:27:30.403;43;2016-10-01 09:35:34.853;38
73466;2016-10-01 09:17:10.693;6;2016-10-01 09:37:05.000;108
83521;2016-10-01 09:35:25.817;18;2016-10-01 09:38:27.000;19
10536;2016-10-01 09:26:26.573;55;2016-10-01 09:40:52.000;16
71792;2016-10-01 09:23:52.120;43;2016-10-01 09:41:43.150;6
78667;2016-10-01 09:38:26.223;6;2016-10-01 09:42:19.000;9
83367;2016-10-01 09:27:16.183;82;2016-10-01 09:43:40.000;16
84209;2016-10-01 09:38:17.943;34;2016-10-01 09:44:14.000;45
14547;2016-10-01 09:18:18.927;66;2016-10-01 09:46:05.037;22
83597;2016-10-01 09:43:30.227;110;2016-10-01 09:47:00.393;108
77826;2016-10-01 09:32:52.830;54;2016-10-01 09:47:23.000;42
15312;2016-10-01 09:45:03.087;105;2016-10-01 09:48:22.000;27
81134;2016-10-01 09:41:44.163;64;2016-10-01 09:49:17.577;33
82066;2016-10-01 09:37:41.880;30;2016-10-01 09:49:30.550;130
89893;2016-10-01 09:26:09.760;68;2016-10-01 09:50:29.187;108
86150;2016-10-01 09:39:28.130;94;2016-10-01 09:51:03.000;88
68295;2016-10-01 09:33:15.907;113;2016-10-01 09:51:23.000;17
80156;2016-10-01 09:40:41.273;61;2016-10-01 09:52:16.000;96
74665;2016-10-01 09:36:29.067;81;2016-10-01 09:52:41.430;89
40128;2016-10-01 09:24:48.993;42;2016-10-01 09:53:48.347;2
22075;2016-10-01 09:48:55.387;33;2016-10-01 09:54:46.000;18
89435;2016-10-01 09:35:32.020;87;2016-10-01 09:56:09.000;74
65277;2016-10-01 09:35:56.423;87;2016-10-01 09:56:12.000;74
56896;2016-10-01 09:51:06.623;79;2016-10-01 09:56:40.000;68
31884;2016-10-01 09:42:59.587;42;2016-10-01 09:57:46.940;50
71780;2016-10-01 09:53:20.783;13;2016-10-01 09:58:18.000;86
40461;2016-10-01 09:38:52.397;39;2016-10-01 09:58:30.767;119
21268;2016-10-01 09:51:51.280;90;2016-10-01 09:59:44.000;21
78583;2016-10-01 09:50:07.153;43;2016-10-01 10:00:23.000;16
6643;2016-10-01 09:53:40.940;57;2016-10-01 10:01:09.000;45
48172;2016-10-01 09:54:19.127;80;2016-10-01 10:02:14.000;57
55679;2016-10-01 09:57:47.550;33;2016-10-01 10:04:15.187;6
53073;2016-10-01 09:56:25.050;86;2016-10-01 10:04:27.000;67
61875;2016-10-01 09:58:20.770;110;2016-10-01 10:05:30.380;118
54590;2016-10-01 10:02:18.993;40;2016-10-01 10:06:58.000;41
60296;2016-10-01 09:47:36.903;35;2016-10-01 10:07:30.000;86
47242;2016-10-01 10:01:38.147;11;2016-10-01 10:08:13.000;10
82260;2016-10-01 10:02:09.413;41;2016-10-01 10:09:45.000;36
73193;2016-10-01 10:03:03.633;125;2016-10-01 10:11:07.237;125
14558;2016-10-01 09:57:30.440;110;2016-10-01 10:11:32.000;87
57344;2016-10-01 10:02:54.133;8;2016-10-01 10:12:26.000;21
81722;2016-10-01 10:02:50.070;11;2016-10-01 10:14:08.193;101
5275;2016-10-01 09:45:47.963;73;2016-10-01 10:14:50.000;73
83878;2016-09-30 23:43:22.107;126;2016-10-01 00:00:50.000;42
73510;2016-09-30 23:47:35.890;115;2016-10-01 00:02:17.470;107
58534;2016-09-30 23:52:58.597;90;2016-10-01 00:02:41.937;129
30400;2016-09-30 23:51:19.673;16;2016-10-01 00:03:49.677;72
85453;2016-09-30 23:46:25.687;108;2016-10-01 00:07:05.000;51
71959;2016-10-01 00:03:06.683;10;2016-10-01 00:09:13.000;65
82263;2016-09-30 23:58:16.257;30;2016-10-01 00:11:59.000;8
89242;2016-10-01 00:02:21.697;46;2016-10-01 00:12:27.250;19
48619;2016-09-30 23:57:47.540;70;2016-10-01 00:13:30.537;84
77901;2016-10-01 00:01:38.120;128;2016-10-01 00:14:33.150;43
83887;2016-09-30 23:56:20.083;59;2016-10-01 00:15:46.000;48
85823;2016-09-30 23:52:53.533;67;2016-10-01 00:17:16.000;77
78712;2016-09-30 23:56:27.927;91;2016-10-01 00:18:38.000;86
65752;2016-10-01 00:00:21.587;118;2016-10-01 00:19:24.787;115
67971;2016-10-01 00:17:03.600;118;2016-10-01 00:20:30.533;119
62535;2016-10-01 00:16:39.913;118;2016-10-01 00:22:00.813;112
75056;2016-10-01 00:15:47.193;24;2016-10-01 00:24:18.000;48
47798;2016-10-01 00:21:16.057;119;2016-10-01 00:24:52.570;110
84808;2016-10-01 00:20:51.353;39;2016-10-01 00:25:38.000;34
45652;2016-10-01 00:24:20.513;67;2016-10-01 00:28:02.000;94
88662;2016-10-01 00:07:22.967;53;2016-10-01 00:31:53.000;80
85539;2016-10-01 00:26:14.497;107;2016-10-01 00:35:09.000;15
27894;2016-10-01 00:27:32.513;130;2016-10-01 00:36:22.203;25
88038;2016-10-01 00:28:07.860;21;2016-10-01 00:37:47.967;105
82689;2016-10-01 00:32:23.673;113;2016-10-01 00:38:46.137;115
85566;2016-10-01 00:30:47.783;87;2016-10-01 00:40:19.000;67
19166;2016-10-01 00:27:37.623;16;2016-10-01 00:41:15.423;52
51484;2016-10-01 00:31:19.907;65;2016-10-01 00:43:06.197;91
1206;2016-10-01 00:26:47.450;39;2016-10-01 00:44:38.000;56
2231;2016-10-01 00:27:46.453;106;2016-10-01 00:45:13.000;30
38984;2016-10-01 00:36:56.693;16;2016-10-01 00:46:10.000;90
60470;2016-10-01 00:32:32.143;119;2016-10-01 00:49:18.000;97
56456;2016-10-01 00:42:55.090;17;2016-10-01 00:51:13.000;40
9095;2016-10-01 00:40:37.197;126;2016-10-01 00:55:01.000;3
64029;2016-10-01 00:38:54.600;33;2016-10-01 00:55:59.000;30
77537;2016-10-01 00:48:06.937;6;2016-10-01 00:57:28.867;75
73655;2016-10-01 00:39:26.773;98;2016-10-01 00:58:23.000;85
86549;2016-10-01 00:40:20.540;1;2016-10-01 01:00:20.927;89
56306;2016-10-01 00:53:18.673;47;2016-10-01 01:02:25.000;16
87597;2016-10-01 00:53:33.597;126;2016-10-01 01:03:14.000;47
77811;2016-10-01 00:42:02.947;60;2016-10-01 01:04:34.000;31
63700;2016-10-01 00:53:56.503;108;2016-10-01 01:06:25.260;113
75590;2016-10-01 00:41:33.587;60;2016-10-01 01:07:48.000;86
84037;2016-10-01 00:59:29.617;47;2016-10-01 01:09:40.157;126
28675;2016-10-01 00:53:41.613;9;2016-10-01 01:12:09.527;2
79262;2016-10-01 00:55:42.147;11;2016-10-01 01:13:21.170;98
87245;2016-10-01 00:53:34.253;47;2016-10-01 01:17:25.000;74
47696;2016-10-01 00:59:13.460;47;2016-10-01 01:24:48.000;78
31557;2016-10-01 08:02:04.493;46;2016-10-01 08:05:38.053;98
15097;2016-10-01 07:59:30.443;130;2016-10-01 08:07:30.000;14
58925;2016-10-01 08:03:08.557;51;2016-10-01 08:13:01.000;42
83587;2016-10-01 08:07:04.983;129;2016-10-01 08:14:54.087;123
55586;2016-10-01 08:05:58.263;37;2016-10-01 08:16:04.000;41
9624;2016-10-01 08:13:01.673;63;2016-10-01 08:17:20.000;5
80992;2016-10-01 08:09:57.000;108;2016-10-01 08:19:30.000;42
79630;2016-10-01 08:10:01.827;18;2016-10-01 08:21:12.000;57
42913;2016-10-01 08:19:49.273;66;2016-10-01 08:24:12.763;64
63549;2016-10-01 08:20:58.993;63;2016-10-01 08:26:03.907;76
41219;2016-10-01 08:25:23.230;51;2016-10-01 08:28:51.733;50
2739;2016-10-01 08:10:38.703;129;2016-10-01 08:29:52.607;24
36970;2016-10-01 08:21:01.337;52;2016-10-01 08:31:53.000;30
23353;2016-10-01 08:27:10.373;75;2016-10-01 08:33:13.000;4
25534;2016-10-01 08:11:58.987;52;2016-10-01 08:35:11.000;67
50512;2016-10-01 08:29:50.547;59;2016-10-01 08:38:21.000;10
73026;2016-10-01 08:28:26.077;93;2016-10-01 08:40:34.163;60
88046;2016-10-01 08:36:28.363;37;2016-10-01 08:42:58.000;39
46340;2016-10-01 08:33:22.157;81;2016-10-01 08:43:38.380;71
894;2016-10-01 08:37:59.193;56;2016-10-01 08:45:46.000;9
19688;2016-10-01 08:36:46.347;11;2016-10-01 08:46:30.000;16
27913;2016-10-01 08:33:21.173;31;2016-10-01 08:48:26.613;123
89367;2016-10-01 08:33:38.847;54;2016-10-01 08:49:32.000;18
68753;2016-10-01 08:38:56.820;38;2016-10-01 08:51:37.000;10
1026;2016-10-01 08:45:43.323;53;2016-10-01 08:53:26.803;50
59799;2016-10-01 08:42:20.400;44;2016-10-01 08:54:48.463;33
86242;2016-10-01 08:49:35.797;61;2016-10-01 08:55:41.000;10
61047;2016-10-01 08:49:58.907;34;2016-10-01 08:56:37.320;103
28836;2016-10-01 08:45:39.557;3;2016-10-01 08:57:04.000;10
39078;2016-10-01 08:28:29.200;79;2016-10-01 08:58:17.477;106
84077;2016-10-01 08:52:24.517;3;2016-10-01 08:58:40.000;10
61040;2016-10-01 08:55:22.877;12;2016-10-01 09:00:10.000;4
71373;2016-10-01 08:41:12.447;23;2016-10-01 09:00:45.000;39
88383;2016-10-01 08:50:35.077;31;2016-10-01 09:03:58.000;47
89386;2016-10-01 09:01:16.930;45;2016-10-01 09:05:43.000;16
90082;2016-10-01 09:03:28.527;54;2016-10-01 09:06:42.790;126
82260;2016-10-01 09:01:37.773;41;2016-10-01 09:09:07.840;101
62497;2016-10-01 09:08:10.043;92;2016-10-01 09:11:18.393;43
86756;2016-10-01 09:04:58.400;31;2016-10-01 09:12:34.000;21
74665;2016-10-01 09:03:12.463;62;2016-10-01 09:12:49.000;81
70262;2016-10-01 09:04:33.730;113;2016-10-01 09:14:21.347;22
60983;2016-10-01 08:50:10.920;91;2016-10-01 09:15:16.000;66
66327;2016-10-01 09:10:11.217;64;2016-10-01 09:16:43.000;10
79782;2016-10-01 09:10:59.280;46;2016-10-01 09:17:52.000;42
70157;2016-10-01 09:14:22.127;67;2016-10-01 09:18:53.000;94
67729;2016-10-01 09:15:31.973;80;2016-10-01 09:21:07.000;78
50477;2016-10-01 09:18:07.660;51;2016-10-01 09:22:45.487;123
37091;2016-10-01 09:07:14.717;128;2016-10-01 09:23:48.853;33
8001;2016-10-01 09:17:07.613;15;2016-10-01 09:24:17.000;20
84595;2016-10-01 09:00:10.960;115;2016-10-01 09:27:15.000;19
54791;2016-10-01 09:13:23.033;30;2016-10-01 09:29:11.000;68
77720;2016-10-01 09:24:26.823;11;2016-10-01 09:30:05.000;5
80866;2016-10-01 09:22:06.273;31;2016-10-01 09:30:33.000;70
22075;2016-10-01 09:23:36.680;18;2016-10-01 09:31:38.000;20
50531;2016-10-01 09:18:19.240;27;2016-10-01 09:32:36.000;41
45141;2016-10-01 09:19:43.663;13;2016-10-01 09:33:22.000;16
41757;2016-10-01 09:31:24.327;17;2016-10-01 09:35:25.000;21
85062;2016-10-01 09:21:22.320;3;2016-10-01 09:36:17.370;35
26964;2016-10-01 09:28:02.310;40;2016-10-01 09:38:14.000;44
23192;2016-10-01 09:32:37.250;63;2016-10-01 09:39:10.000;10
19831;2016-10-01 09:27:42.653;18;2016-10-01 09:41:30.000;42
47882;2016-10-01 09:38:17.863;72;2016-10-01 09:42:10.000;69
51981;2016-10-01 09:25:35.730;109;2016-10-01 09:43:23.000;34
29337;2016-10-01 09:38:30.443;68;2016-10-01 09:44:05.530;2
4200;2016-10-01 09:37:08.753;88;2016-10-01 09:45:13.000;15
47185;2016-10-01 09:38:43.537;21;2016-10-01 09:46:53.000;53
55875;2016-10-01 09:34:08.893;64;2016-10-01 09:42:14.000;33
87809;2016-10-01 09:44:32.057;90;2016-10-01 09:48:16.737;107
51634;2016-10-01 09:42:48.867;50;2016-10-01 09:49:15.070;119
89242;2016-10-01 09:38:29.207;19;2016-10-01 09:49:25.000;44
72284;2016-10-01 09:39:52.023;91;2016-10-01 09:50:16.243;129
6451;2016-10-01 09:43:34.370;12;2016-10-01 09:51:06.200;2
56643;2016-10-01 09:42:33.493;56;2016-10-01 09:51:20.057;38
21298;2016-10-01 09:30:13.827;37;2016-10-01 09:52:12.843;121
32967;2016-10-01 09:42:37.337;107;2016-10-01 09:52:37.000;16
88918;2016-10-01 09:41:36.553;45;2016-10-01 09:53:33.870;123
72547;2016-10-01 09:44:15.337;3;2016-10-01 09:54:17.000;73
36227;2016-10-01 09:51:14.890;56;2016-10-01 09:55:26.000;59
30087;2016-10-01 09:45:45.120;48;2016-10-01 09:56:15.100;33
30590;2016-10-01 09:46:35.667;39;2016-10-01 09:56:30.843;46
18326;2016-10-01 09:46:53.310;48;2016-10-01 09:57:35.000;67
66309;2016-10-01 09:53:17.830;61;2016-10-01 09:58:12.700;75
40462;2016-10-01 09:38:39.147;39;2016-10-01 09:58:27.043;119
5492;2016-10-01 09:52:39.110;42;2016-10-01 09:59:43.123;91
74179;2016-10-01 09:47:54.840;15;2016-10-01 10:00:02.000;70
21619;2016-10-01 09:56:03.003;40;2016-10-01 10:01:03.000;41
87400;2016-10-01 09:55:48.800;118;2016-10-01 10:02:12.237;109
45258;2016-10-01 09:47:40.340;42;2016-10-01 10:03:26.057;128
11214;2016-10-01 09:42:51.557;71;2016-10-01 10:04:21.000;5
66141;2016-10-01 09:46:16.137;117;2016-10-01 10:05:18.480;98
87010;2016-10-01 09:59:53.287;42;2016-10-01 10:06:29.000;42
35621;2016-10-01 10:01:45.790;113;2016-10-01 10:07:11.040;110
90119;2016-10-01 10:01:24.367;11;2016-10-01 10:08:07.000;10
62242;2016-10-01 09:54:11.550;118;2016-10-01 10:09:43.220;98
22655;2016-10-01 10:01:54.617;65;2016-10-01 10:09:30.000;71
78533;2016-10-01 10:04:17.227;90;2016-10-01 10:11:24.223;119
54882;2016-10-01 10:07:34.403;92;2016-10-01 10:13:16.077;121
89852;2016-09-30 23:46:56.390;67;2016-10-01 00:00:34.000;14
18862;2016-09-30 23:54:45.990;67;2016-10-01 00:02:02.700;75
77995;2016-09-30 23:57:16.757;11;2016-10-01 00:02:29.000;94
84209;2016-09-30 23:51:35.470;50;2016-10-01 00:03:20.000;34
83336;2016-09-30 23:53:32.737;68;2016-10-01 00:06:29.000;66
89451;2016-09-30 23:45:04.590;31;2016-10-01 00:08:35.000;81
80985;2016-09-30 23:59:24.133;21;2016-10-01 00:11:32.000;55
85335;2016-10-01 00:02:37.823;98;2016-10-01 00:12:14.733;19
54453;2016-09-30 23:58:45.663;102;2016-10-01 00:13:08.307;130
